start_ms	end_ms	length_ms	x	y
5576124	5577030	906	531.1	394.8
5577216	5577342	126	549.9	388.9
5577361	5577594	233	533.5	375.4
5577615	5577765	150	501.1	334.8
5577804	5578010	206	322.1	393.9
5578066	5578300	234	620.3	429.1
5578334	5578638	304	739.9	432.5
5578677	5578770	93	921.1	364.0
5578788	5578896	108	922.9	361.7
5578907	5579039	132	939.5	365.6
5579066	5579246	180	943.4	421.3
5579278	5579479	201	960.9	526.0
5579538	5579740	202	553.5	209.9
5579772	5579999	227	420.1	212.8
5580055	5580197	142	100.3	244.5
5580271	5580463	192	587.5	198.2
5580497	5580604	107	720.5	235.9
5580664	5580892	228	360.6	448.1
5580928	5581089	161	301.2	403.2
5581142	5581304	162	586.9	429.1
5581343	5581531	188	535.0	297.5
5581588	5581808	220	131.0	209.6
5581879	5582084	205	516.8	452.9
5582109	5582268	159	471.3	481.4
5582295	5582461	166	408.4	497.2
5582497	5582620	123	246.4	498.3
5582690	5582765	75	681.2	504.4
5582824	5583019	195	192.6	563.3
5583057	5583331	274	170.4	240.7
5583358	5584151	793	102.8	209.6
5584220	5584335	115	472.0	381.9
