start_ms	end_ms	length_ms	x	y
3075909	3076296	387	464.6	392.7
3076317	3076874	557	515.8	384.1
3076900	3077111	211	500.5	390.9
3077122	3077217	95	503.3	383.2
3077583	3078003	420	505.1	384.7
3078061	3078251	190	881.6	448.7
3078280	3078427	147	958.8	505.0
3078523	3078690	167	241.1	357.2
3078716	3078967	251	126.0	301.4
3079005	3079316	311	283.8	294.9
3079355	3079709	354	118.7	285.8
3079739	3080291	552	83.3	277.3
3080517	3080658	141	262.2	309.1
3080680	3080830	150	303.7	297.6
3080885	3081149	264	111.5	381.8
3081213	3081411	198	76.6	155.3
3081434	3081768	334	39.4	108.9
3081794	3082062	268	128.6	105.9
3082091	3082273	182	270.6	108.2
3082299	3082546	247	389.7	115.4
3082575	3082825	250	504.1	115.9
3082881	3083183	302	806.8	140.2
3083244	3083423	179	427.9	181.7
3083474	3083696	222	138.6	267.1
3083721	3083982	261	113.6	226.5
3083999	3084961	962	78.5	226.6
