start_ms	end_ms	length_ms	x	y
6397225	6397648	423	453.9	403.7
6397672	6398219	547	508.8	402.6
6398536	6398682	146	515.6	403.9
6398693	6399066	373	505.7	398.5
6399318	6399538	220	512.2	392.1
6399815	6399923	108	484.7	384.7
6399938	6400076	138	508.3	388.2
6400364	6400756	392	516.2	399.5
6400764	6400896	132	501.9	400.0
6401238	6401535	297	514.7	393.6
6401834	6402508	674	517.2	398.6
6402791	6403279	488	519.9	391.6
6403326	6403508	182	170.8	302.2
6403543	6403728	185	190.2	412.7
6403744	6403921	177	193.5	375.5
6403965	6404155	190	51.7	232.0
6404185	6404509	324	169.2	206.6
6404541	6404716	175	190.4	265.3
6404745	6404902	157	53.8	289.8
6404920	6405070	150	23.9	290.2
6405097	6405272	175	-25.0	234.2
6405344	6405481	137	715.3	231.6
6405501	6405725	224	683.9	201.6
6405751	6405845	94	713.0	279.8
6405871	6405983	112	672.2	206.6
6406006	6406164	158	664.9	166.4
6406187	6406375	188	727.1	158.4
6406405	6406717	312	651.8	74.8
6406765	6407032	267	708.0	485.4
6407073	6407236	163	798.9	652.1
6407259	6407595	336	795.4	691.7
6407614	6407683	69	821.7	720.3
6407704	6407787	83	821.2	726.3
6407824	6408053	229	829.1	584.2
6408084	6408181	97	946.3	584.6
6408253	6408537	284	223.9	602.9
6408823	6408867	44	141.0	412.7
6408884	6409304	420	134.8	453.2
6409334	6409638	304	85.2	462.4
6409686	6409856	170	509.5	412.3
