start_ms	end_ms	length_ms	x	y
11605389	11605643	254	466.5	376.6
11605664	11605912	248	492.2	375.2
11606248	11606338	90	508.0	389.6
11606742	11606863	121	477.8	376.5
11607487	11607516	29	505.8	369.1
11607738	11608487	749	480.0	388.8
11608672	11608781	109	495.5	383.7
11608792	11609603	811	492.3	384.5
11609800	11609922	122	496.2	380.0
11609936	11610186	250	487.8	385.3
11610229	11610335	106	443.5	270.0
11610381	11610897	516	540.5	206.3
11610932	11611162	230	404.4	224.6
11611192	11611518	326	357.5	281.3
11611545	11611664	119	420.2	325.9
11611703	11611869	166	558.8	341.7
11611917	11612055	138	549.3	226.4
11612115	11612273	158	942.6	261.5
11612297	11612462	165	907.7	188.1
11612502	11612858	356	1014.2	248.1
11613087	11613375	288	963.3	451.0
11613425	11613718	293	983.8	359.7
11613781	11614012	231	656.7	331.8
11614035	11615398	1363	683.9	342.9
11615484	11615522	38	389.3	346.1
11615586	11615723	137	579.2	163.5
11616026	11616207	181	497.4	288.1
11616253	11616341	88	446.8	408.4
11616404	11616564	160	200.5	456.4
11616616	11616706	90	216.1	253.6
11616741	11617012	271	213.0	210.0
11617039	11617187	148	278.9	208.5
11617425	11617589	164	612.8	204.5
11617624	11618421	797	670.3	157.2
11618497	11618776	279	174.1	232.8
11618826	11620303	1477	119.1	207.0
