start_ms	end_ms	length_ms	x	y
5243276	5243780	504	522.5	389.5
5243836	5244031	195	488.4	372.9
5244047	5244069	22	490.0	361.2
5244288	5244731	443	492.1	375.6
5244771	5244928	157	497.7	376.1
5244947	5245873	926	518.3	382.4
5245918	5246105	187	401.7	191.1
5246149	5246400	251	236.9	298.8
5246470	5246878	408	766.3	460.9
5246906	5246999	93	730.0	459.0
5247050	5247289	239	394.6	157.1
5247310	5247503	193	425.7	142.2
5247662	5247821	159	244.5	325.2
5247842	5248229	387	250.7	289.6
5248281	5248647	366	118.3	490.6
5248720	5249273	553	731.0	478.1
5249330	5249650	320	1043.5	520.1
5249700	5249757	57	775.5	523.8
5249941	5250197	256	907.4	473.8
5250226	5250330	104	998.5	503.6
5250621	5250831	210	722.4	539.9
5250859	5251051	192	706.0	468.9
5251116	5251252	136	216.8	301.1
5251279	5251481	202	196.7	221.9
5251507	5251786	279	291.1	224.8
5251810	5251945	135	262.6	221.2
5252181	5252244	63	261.4	209.0
5252448	5252477	29	221.7	204.2
5252680	5252912	232	178.5	217.0
5253140	5253891	751	108.4	287.8
5253907	5254271	364	99.2	294.2
5254477	5254921	444	110.6	291.2
5254975	5255071	96	523.7	339.9
5255299	5255589	290	553.8	352.5
5255880	5256024	144	582.2	358.2
5256062	5256415	353	504.5	361.6
5256679	5256996	317	593.7	366.8
5257034	5257320	286	521.9	362.0
