start_ms	end_ms	length_ms	x	y
8655158	8655335	177	437.1	376.6
8655356	8655771	415	485.1	372.0
8655789	8655975	186	468.3	387.4
8655990	8657624	1634	480.9	377.3
8657659	8657854	195	348.7	393.7
8657906	8658093	187	635.3	210.4
8658117	8658321	204	559.3	169.3
8658346	8658439	93	506.9	185.0
8658463	8658679	216	530.3	246.7
8658711	8658894	183	605.7	222.0
8658915	8659128	213	612.4	291.9
8659186	8659346	160	918.1	443.1
8659380	8659580	200	926.9	430.2
8659636	8659659	23	1012.8	628.3
8659689	8659796	107	1011.7	623.2
8659874	8660063	189	314.1	453.5
8660080	8660570	490	329.2	421.5
8660623	8660924	301	559.6	256.2
8660999	8661369	370	712.2	364.9
8661421	8661642	221	331.8	424.3
8661691	8661835	144	352.9	434.8
8661901	8662204	303	843.0	464.9
8662272	8662738	466	330.6	432.2
8662785	8662868	83	114.1	354.8
8662889	8662983	94	91.0	290.7
8663005	8663164	159	71.3	260.0
8663187	8663528	341	50.0	284.8
8663565	8663730	165	127.7	215.5
8663762	8664047	285	69.4	292.1
8664097	8664332	235	451.1	390.6
