start_ms	end_ms	length_ms	x	y
1390623	1390917	294	541.2	393.6
1390933	1391648	715	517.1	382.1
1391655	1392009	354	499.0	376.6
1392131	1392409	278	496.9	373.4
1392448	1392642	194	351.1	264.9
1392687	1392910	223	634.6	429.7
1392968	1393072	104	507.0	624.1
1393232	1393264	32	289.3	734.2
1393539	1393835	296	520.6	595.3
1393841	1393975	134	520.2	601.4
1394000	1394209	209	488.3	628.7
1394234	1394531	297	426.5	666.8
1394581	1394797	216	727.4	572.2
1394816	1395163	347	698.2	577.0
1395189	1395422	233	765.6	535.6
1395484	1396278	794	507.7	600.3
1396342	1396373	31	342.9	696.2
1396396	1396483	87	344.4	680.6
1396518	1396561	43	342.6	697.1
1396676	1396989	313	284.4	708.2
1397122	1397245	123	292.5	689.9
1397286	1397386	100	495.5	596.4
1397393	1397458	65	489.3	580.7
1397482	1397739	257	490.3	603.6
1397778	1397969	191	626.1	502.7
1398036	1398357	321	601.7	271.5
1398412	1398572	160	746.2	398.6
1398650	1399034	384	1044.4	342.4
1399134	1399217	83	172.4	721.8
1399301	1399350	49	177.5	723.3
1399395	1399600	205	180.6	466.9
1399650	1399969	319	181.8	237.7
1399993	1400260	267	266.5	223.7
1400294	1400460	166	147.5	256.9
1400492	1400663	171	86.7	279.0
1400693	1400835	142	53.5	295.4
1400857	1401279	422	79.1	277.6
1401337	1401696	359	493.7	376.6
