start_ms	end_ms	length_ms	x	y
12633122	12633433	311	501.0	368.1
12633453	12634780	1327	481.9	390.1
12634820	12634950	130	490.3	279.5
12634987	12635038	51	688.8	299.0
12635079	12635301	222	508.6	349.6
12635337	12635488	151	395.4	404.5
12635520	12635773	253	280.0	570.9
12635798	12635945	147	203.4	566.3
12635977	12636234	257	361.7	566.5
12636263	12636690	427	486.1	560.1
12636721	12636979	258	361.4	572.9
12637005	12637257	252	300.4	568.0
12637281	12637495	214	356.7	572.8
12637526	12637815	289	507.3	571.7
12637856	12638356	500	649.8	576.7
12638400	12638599	199	738.7	576.4
12638632	12639002	370	659.7	582.1
12639025	12639417	392	634.2	584.7
12639445	12639710	265	537.9	573.2
12639750	12639954	204	647.8	591.7
12640066	12640167	101	206.1	335.0
12640209	12640463	254	178.8	217.6
12640490	12640925	435	257.0	231.2
12640990	12641290	300	122.9	408.1
12641321	12642095	774	114.5	332.9
12642123	12642963	840	115.8	417.2
12642994	12643136	142	126.5	521.5
12643145	12643869	724	116.3	510.2
