start_ms	end_ms	length_ms	x	y
733741	734174	433	527.4	419.6
734188	734359	171	495.2	422.4
734697	738291	3594	477.2	412.2
738449	738701	252	455.7	403.8
738714	740939	2225	480.7	411.1
740958	741715	757	469.4	405.4
741721	742575	854	470.2	394.4
742592	743599	1007	474.5	400.6
743765	743955	190	468.8	399.2
777846	778066	220	531.4	509.0
778288	778420	132	527.1	392.9
778433	779943	1510	501.3	395.4
779969	780150	181	471.8	287.6
780202	780398	196	294.0	273.9
780405	780566	161	288.7	274.3
780618	780842	224	581.1	506.2
780879	781138	259	516.3	513.0
781173	781322	149	570.2	548.9
781365	781655	290	799.4	516.8
781709	781917	208	1047.7	240.4
781957	782165	208	999.3	99.7
782229	782341	112	516.2	196.6
782365	782556	191	474.1	239.7
782599	782894	295	317.3	280.2
783079	783308	229	167.1	511.4
783370	783656	286	92.5	211.8
783697	783970	273	278.4	235.5
784000	784612	612	328.2	276.9
784799	785064	265	453.2	243.0
785092	785233	141	414.6	166.2
785284	785399	115	608.5	152.7
785474	785617	143	40.6	379.2
785648	785848	200	91.6	377.1
785888	786368	480	159.1	215.2
786402	786774	372	85.9	312.7
786805	787020	215	188.1	234.4
787065	787206	141	103.9	299.0
787225	787546	321	81.5	331.5
787565	788431	866	41.2	356.6
788490	788720	230	473.3	386.1
