start_ms	end_ms	length_ms	x	y
1046310	1046874	564	551.6	391.5
1046887	1046932	45	534.1	409.3
1047215	1047556	341	528.6	368.0
1047577	1048660	1083	528.9	402.3
1048696	1048870	174	454.6	291.1
1048897	1049114	217	446.9	206.7
1049134	1049446	312	420.5	164.0
1049485	1049579	94	549.9	95.2
1049623	1049730	107	826.7	124.2
1049760	1049875	115	992.8	106.0
1050111	1050136	25	929.3	82.5
1050178	1050465	287	733.5	334.2
1050516	1050697	181	1045.6	292.1
1050721	1050808	87	1123.8	279.1
1050863	1051067	204	485.4	267.7
1051092	1051170	78	423.3	221.4
1051200	1051386	186	450.9	173.3
1051402	1051560	158	437.2	160.4
1051584	1051868	284	443.4	233.5
1051896	1052054	158	438.6	320.6
1052078	1052252	174	505.7	314.3
1052289	1052426	137	345.3	428.1
1052453	1052736	283	443.1	458.9
1052758	1052920	162	401.1	482.9
1052962	1053126	164	409.4	701.3
1053171	1053317	146	189.3	592.1
1053348	1053494	146	137.7	546.5
1053556	1053685	129	92.8	158.0
1053714	1053913	199	162.4	110.7
1053946	1054798	852	105.9	220.0
1054830	1054911	81	238.1	249.4
1054937	1055292	355	330.0	261.4
