start_ms	end_ms	length_ms	x	y
925979	926348	369	515.4	377.1
926365	926750	385	491.1	374.5
927024	927177	153	505.3	239.7
927206	927349	143	505.0	350.5
927369	927695	326	490.6	369.1
927984	928089	105	499.8	199.2
928368	928469	101	512.5	358.1
928486	928893	407	489.3	376.7
928914	929846	932	492.4	383.5
929885	930330	445	268.8	385.5
930397	930794	397	742.2	239.2
930864	931116	252	328.1	266.0
931148	931375	227	234.4	406.7
931395	931596	201	254.0	383.0
931626	931792	166	102.3	441.1
931814	931959	145	63.7	471.9
932032	932322	290	682.4	191.7
932362	932636	274	881.1	80.6
932675	932781	106	1003.4	131.9
932928	933205	277	933.6	140.3
933239	933572	333	956.8	99.0
933630	933909	279	823.9	518.4
933954	934444	490	1047.6	485.2
934501	934592	91	645.1	405.9
934775	934972	197	609.8	309.4
935003	935174	171	397.1	170.5
935217	935408	191	467.1	99.3
935432	935683	251	511.6	88.9
935710	936001	291	411.5	76.1
936028	936219	191	504.4	78.5
936253	936638	385	559.6	72.5
936681	936723	42	454.8	107.0
936806	936986	180	39.6	612.5
937007	937234	227	60.5	644.1
937299	937358	59	375.3	170.7
937396	937644	248	488.3	84.6
937672	937884	212	517.7	87.3
937917	938119	202	338.8	160.1
938169	938444	275	570.8	168.5
938483	938678	195	653.1	165.8
938761	938897	136	186.5	647.7
938931	939095	164	93.3	665.2
939153	939415	262	480.7	397.3
939447	939752	305	421.1	389.0
939952	940087	135	459.9	384.6
940118	940583	465	420.9	387.5
940622	940716	94	509.7	380.7
