start_ms	end_ms	length_ms	x	y
5194809	5195081	272	432.9	374.6
5195121	5195280	159	502.8	376.2
5195488	5197097	1609	507.1	375.9
5197145	5197291	146	273.4	394.3
5197327	5197559	232	142.3	440.5
5197576	5197821	245	134.9	464.2
5197891	5198276	385	741.4	375.5
5198315	5198639	324	997.3	448.1
5198716	5198986	270	293.6	413.6
5199048	5199408	360	531.9	405.6
5199470	5199758	288	843.0	420.3
5199802	5200135	333	999.7	397.1
5200210	5200512	302	592.7	193.5
5200558	5200836	278	332.6	182.8
5200895	5201301	406	574.3	304.5
5201350	5201538	188	356.9	331.1
5201580	5201830	250	160.2	433.1
5201853	5202039	186	135.2	423.0
5202096	5202223	127	493.5	507.1
5202281	5202384	103	201.5	342.6
5202423	5202617	194	118.5	385.1
5202648	5202883	235	123.0	422.6
5202914	5203099	185	104.3	377.3
5203113	5204246	1133	103.2	355.3
5204321	5204399	78	506.9	269.8
5204446	5204629	183	449.9	339.9
