start_ms	end_ms	length_ms	x	y
5451810	5452120	310	456.0	362.1
5452159	5452389	230	497.6	364.3
5452599	5453212	613	497.6	380.4
5453230	5453746	516	505.8	372.6
5453802	5453947	145	264.1	343.9
5453991	5454180	189	481.9	374.6
5454210	5454411	201	485.6	285.4
5454449	5454660	211	201.6	321.2
5454721	5455027	306	612.1	384.2
5455072	5455379	307	664.0	347.3
5455406	5455628	222	666.9	327.7
5455668	5455822	154	740.6	368.1
5455858	5455939	81	733.7	435.7
5455997	5456162	165	391.8	367.1
5456193	5456482	289	236.4	341.0
5456520	5456879	359	122.5	333.5
5456908	5457155	247	226.4	362.7
5457192	5457721	529	115.8	348.0
5457769	5457917	148	363.4	252.6
5457970	5458197	227	490.7	239.7
5458229	5458466	237	501.3	406.0
5458504	5458660	156	543.9	425.8
5458689	5459000	311	557.0	307.6
5459036	5459272	236	594.6	292.1
5459325	5459472	147	181.6	466.8
5459506	5459648	142	141.0	457.8
5459680	5459989	309	106.3	433.8
5460008	5460965	957	95.1	423.1
