start_ms	end_ms	length_ms	x	y
1339463	1340121	658	501.2	381.3
1340512	1340534	22	538.0	352.8
1342571	1342891	320	505.6	377.4
1344770	1344809	39	497.1	320.6
1344993	1345096	103	508.2	366.8
1345112	1345542	430	501.3	373.9
1345820	1345854	34	505.3	336.7
1346380	1346639	259	518.0	374.9
1346651	1346831	180	543.8	378.3
1346848	1347746	898	518.3	377.3
1347998	1348042	44	537.7	325.3
1348193	1348362	169	588.2	405.1
1349165	1349878	713	616.8	403.4
1350379	1350977	598	596.6	416.6
1351081	1351155	74	441.0	215.8
1351849	1351961	112	466.5	210.6
1352074	1352136	62	601.8	404.9
1352153	1352213	60	601.3	396.2
1352279	1352408	129	444.0	197.5
1353488	1353522	34	146.5	571.2
1353649	1353725	76	111.8	542.2
1353887	1353997	110	102.5	533.7
1354015	1354353	338	102.4	531.2
1354394	1354788	394	104.6	528.5
1355194	1355404	210	513.7	356.9
