start_ms	end_ms	length_ms	x	y
3528716	3529492	776	495.4	383.5
3529510	3529687	177	516.0	382.0
3529963	3530097	134	543.8	321.3
3530125	3530603	478	512.3	401.6
3530877	3531223	346	534.8	384.0
3531240	3531551	311	513.8	405.9
3531827	3532411	584	510.8	381.0
3532441	3532670	229	585.5	347.4
3532689	3532891	202	621.5	354.5
3533132	3533312	180	512.8	347.3
3533341	3533664	323	613.1	368.8
3533674	3533989	315	622.7	348.3
3534269	3534354	85	644.8	363.3
3534408	3534729	321	143.8	296.1
3534749	3535223	474	100.2	294.0
3535555	3535853	298	800.3	489.6
3535903	3536199	296	600.6	389.7
3536221	3536789	568	628.8	344.3
3537121	3537274	153	650.5	363.9
3537296	3537551	255	608.1	345.3
3537615	3537764	149	141.2	533.0
3537807	3538134	327	162.5	671.4
3538246	3538403	157	481.4	184.0
3538433	3538506	73	408.5	196.8
3538555	3538880	325	611.6	198.9
3538957	3539130	173	132.9	745.2
3539155	3539487	332	128.3	697.3
3539511	3539721	210	183.9	691.4
3539746	3540103	357	134.1	674.3
3540122	3540675	553	117.5	619.1
