start_ms	end_ms	length_ms	x	y
575477	575787	310	459.5	372.8
575809	576303	494	493.2	370.9
576384	576532	148	502.2	370.2
576676	576889	213	500.6	350.0
576908	577021	113	479.5	372.0
577043	578123	1080	503.2	368.3
578158	578293	135	420.3	348.7
578321	578562	241	490.2	369.1
578608	579013	405	314.7	404.3
579187	579432	245	661.7	230.9
579462	579576	114	638.0	194.0
579628	580078	450	434.1	202.2
580133	580409	276	656.4	391.7
580463	580620	157	983.2	741.0
580654	581223	569	1053.3	761.9
581330	581571	241	186.8	517.2
581610	581781	171	135.5	392.5
581843	582257	414	91.9	658.1
582455	582591	136	1080.5	342.2
582626	582803	177	1106.1	230.0
582834	583017	183	1040.9	221.2
583061	583299	238	1109.6	370.2
583346	583449	103	888.2	210.3
583502	583759	257	389.2	145.9
583799	583957	158	200.5	277.4
583977	584480	503	164.9	275.6
584499	584800	301	122.8	278.1
584841	585223	382	239.7	252.0
585269	585446	177	464.9	365.9
585606	585815	209	547.5	380.0
585840	586526	686	458.4	388.6
586535	586819	284	453.0	395.5
