start_ms	end_ms	length_ms	x	y
3427094	3427485	391	525.5	369.4
3427652	3428089	437	487.5	363.9
3428126	3428363	237	457.5	334.6
3428383	3428537	154	503.3	349.4
3428559	3428977	418	480.6	324.0
3428991	3429232	241	501.7	354.8
3429430	3429751	321	485.6	357.2
3429787	3430466	679	419.4	314.0
3430490	3431142	652	480.5	339.4
3431155	3431475	320	502.0	359.2
3431483	3431967	484	498.1	372.5
3432073	3432652	579	513.8	387.5
3432679	3432844	165	438.6	311.8
3432869	3433031	162	498.1	260.9
3433055	3433338	283	437.4	247.1
3433366	3433679	313	580.4	283.4
3433717	3433942	225	435.2	247.0
3433981	3434182	201	576.6	280.5
3434223	3434384	161	425.9	395.3
3434418	3434627	209	316.4	405.8
3434650	3434898	248	322.7	343.2
3434917	3435080	163	388.8	349.7
3435116	3435300	184	523.6	396.6
3435344	3435528	184	760.7	471.6
3435555	3435662	107	818.8	453.5
3435684	3435863	179	887.4	430.6
3435923	3436056	133	428.4	548.5
3436090	3436258	168	304.0	525.1
3436290	3436519	229	242.8	505.2
3436567	3436753	186	581.3	629.5
3436785	3437043	258	510.3	599.7
3437083	3437284	201	767.7	666.6
3437308	3437445	137	687.5	664.8
3437478	3437701	223	799.4	583.5
3437752	3437855	103	504.4	429.2
3437896	3438038	142	323.4	248.0
3438077	3438308	231	184.8	299.5
3438331	3439024	693	150.2	343.9
3439080	3439201	121	464.8	339.1
