start_ms	end_ms	length_ms	x	y
7209627	7209973	346	502.2	382.7
7210174	7210701	527	488.8	343.5
7210710	7211223	513	496.7	376.1
7211424	7212250	826	495.3	365.2
7212291	7212511	220	764.6	365.5
7212544	7212687	143	716.8	242.6
7212750	7212990	240	184.6	345.7
7213018	7213167	149	160.5	269.2
7213215	7213451	236	-14.1	597.0
7213479	7213671	192	138.8	575.8
7213711	7213844	133	438.2	603.8
7213898	7214268	370	553.0	160.5
7214295	7214420	125	483.0	141.1
7214484	7214690	206	973.4	523.0
7214719	7215040	321	1066.3	619.0
7215190	7215433	243	241.2	497.5
7215475	7215741	266	-36.2	539.3
7215761	7216009	248	-78.4	582.1
7216073	7216226	153	413.7	166.7
7216266	7216471	205	560.6	164.5
7216495	7216765	270	585.2	308.7
7216813	7217104	291	922.3	554.3
7217161	7217283	122	345.5	679.3
7217321	7217589	268	124.5	638.1
7217606	7217853	247	82.7	618.3
7217859	7218181	322	74.5	611.6
7218205	7218368	163	140.6	656.1
7218391	7218508	117	212.2	668.3
7218670	7218780	110	115.0	611.3
7218787	7218995	208	127.5	621.2
7219018	7219175	157	51.9	598.3
7219185	7219591	406	62.9	620.0
7219618	7219789	171	190.1	644.6
7219811	7219979	168	127.6	635.0
7220153	7220296	143	138.8	597.1
7220319	7220490	171	76.6	567.0
7220548	7220737	189	423.4	183.2
7220774	7221180	406	631.8	177.6
7221221	7221333	112	448.4	438.0
7221510	7221798	288	503.9	358.7
7221823	7222158	335	434.8	384.6
