start_ms	end_ms	length_ms	x	y
671482	671990	508	553.7	344.1
672010	672155	145	525.1	356.7
672353	672889	536	506.6	322.5
672921	673025	104	557.6	327.0
673048	673445	397	528.1	345.9
673480	673658	178	465.9	307.1
673685	673961	276	514.3	335.3
674196	674314	118	508.6	339.9
674333	674726	393	528.6	359.7
674806	674940	134	958.5	98.8
675010	675259	249	528.8	299.1
675281	675764	483	497.3	341.2
675992	676611	619	502.5	251.3
676638	677197	559	510.3	341.1
677214	677976	762	514.4	360.0
678015	678265	250	432.1	300.6
678457	678729	272	473.3	191.3
678754	678849	95	445.5	232.9
678884	679123	239	549.6	386.9
679146	679176	30	583.2	425.4
679216	679432	216	690.0	476.6
679460	679608	148	751.1	566.9
679676	679833	157	501.8	259.2
679875	680025	150	537.5	389.0
680083	680270	187	417.8	215.3
680331	680605	274	104.8	521.0
680659	680907	248	446.3	238.5
681108	681304	196	458.3	237.9
681348	681505	157	533.3	390.9
681570	681892	322	1023.8	288.4
681934	682086	152	1062.7	83.8
682157	682373	216	417.3	187.9
682402	682541	139	444.8	211.5
682744	682929	185	365.8	280.6
682985	683189	204	115.9	520.9
683220	683521	301	-3.0	690.9
683545	683669	124	-38.5	753.8
683742	683883	141	455.1	220.1
683941	684064	123	166.6	333.2
684088	684211	123	124.1	372.7
684247	684382	135	232.6	236.2
684408	684638	230	180.7	267.1
684671	684985	314	122.1	435.5
685004	685474	470	108.5	420.5
685717	685795	78	109.8	360.9
685835	685993	158	206.1	263.7
686016	686254	238	166.6	271.1
686290	686668	378	111.6	422.8
686693	686868	175	115.0	521.7
686903	687052	149	166.8	500.8
687093	688419	1326	79.6	478.2
688444	688640	196	120.7	506.5
688668	688884	216	107.9	435.4
688910	689022	112	96.7	463.6
689218	689425	207	82.5	464.8
689446	689624	178	93.6	523.4
689652	690130	478	83.8	468.5
690159	690364	205	105.3	552.9
690388	690601	213	84.6	547.2
690626	690945	319	91.3	476.1
690974	691157	183	90.3	525.1
691189	691934	745	85.8	483.5
691994	692156	162	504.0	342.9
692188	692370	182	454.8	351.9
