start_ms	end_ms	length_ms	x	y
4309207	4309422	215	556.3	385.3
4309457	4309659	202	493.6	386.5
4309694	4309910	216	547.4	388.5
4309945	4310370	425	528.4	382.2
4310404	4310624	220	563.0	388.9
4310656	4310829	173	536.4	386.4
4310847	4311464	617	549.2	382.6
4311497	4311678	181	514.5	366.8
4311698	4312314	616	524.6	370.9
4312350	4312475	125	555.2	356.6
4312511	4312691	180	538.3	360.4
4312726	4312863	137	507.2	369.7
4312897	4313662	765	532.4	372.2
4313689	4313927	238	543.6	356.0
4313961	4313992	31	516.0	355.2
4314281	4314321	40	484.1	291.8
4314340	4314362	22	481.8	327.9
4314399	4315327	928	517.2	355.8
4315362	4315511	149	493.0	356.7
4315543	4316145	602	533.7	337.0
4316444	4316568	124	502.5	248.9
4316630	4316779	149	221.6	255.2
4316816	4316946	130	182.5	242.7
4317005	4317151	146	205.6	384.9
4317176	4317701	525	238.8	409.4
4317740	4319039	1299	159.9	433.1
4319120	4319191	71	525.0	387.0
4319524	4319619	95	448.2	281.6
