start_ms	end_ms	length_ms	x	y
4319677	4320173	496	512.0	366.3
4320209	4320661	452	548.1	376.0
4320708	4320831	123	575.3	379.7
4320864	4321022	158	545.4	382.0
4321051	4321317	266	557.8	384.1
4321349	4321502	153	531.4	369.3
4321531	4321801	270	546.9	370.3
4321826	4322006	180	532.6	371.1
4322034	4322200	166	553.2	378.5
4322227	4322430	203	538.8	374.7
4322454	4322979	525	560.8	369.3
4323017	4323159	142	532.5	359.3
4323193	4323491	298	564.3	370.8
4323842	4323881	39	515.4	327.5
4323918	4325858	1940	561.8	392.6
4325894	4326002	108	542.2	389.3
4326026	4326547	521	563.7	401.8
4326585	4326730	145	538.2	391.2
4326752	4327068	316	552.6	390.3
4327103	4327352	249	567.0	388.2
4327388	4328032	644	549.8	391.4
4328074	4328200	126	581.5	388.4
4328225	4328632	407	555.2	387.0
4328669	4328823	154	589.7	389.2
4329084	4329437	353	552.7	388.0
4329471	4329830	359	538.1	389.3
4432553	4432780	227	460.6	265.2
4432805	4433108	303	420.1	270.5
4433154	4433263	109	517.7	349.9
4433281	4433572	291	527.3	362.0
4433604	4433976	372	499.3	370.1
4434156	4434422	266	506.8	408.9
4434491	4434602	111	494.1	392.3
4434620	4434680	60	506.7	400.2
4434689	4434869	180	517.4	400.1
4434925	4435112	187	309.9	429.1
4435156	4435503	347	401.6	471.7
4435573	4435775	202	689.1	271.7
4435844	4436021	177	352.1	376.7
4436070	4436382	312	436.9	417.2
4436429	4436545	116	528.9	471.3
4436623	4436890	267	124.9	423.1
4436918	4437120	202	127.8	456.5
4437319	4437552	233	201.0	414.5
4437602	4438310	708	376.5	425.4
4438338	4438712	374	504.5	423.6
4438730	4438924	194	518.7	467.6
4438990	4439187	197	781.2	437.3
4439234	4439441	207	739.0	267.7
4439507	4439684	177	499.9	462.0
4439736	4439978	242	626.1	573.0
4440044	4440136	92	196.9	477.9
4440175	4440462	287	138.4	423.8
4440489	4440553	64	176.0	439.3
4440608	4440807	199	172.8	222.5
4440878	4440992	114	424.4	155.1
4441018	4441167	149	462.2	114.8
4441206	4441451	245	521.1	102.2
4441480	4441605	125	456.6	103.1
4441663	4441843	180	362.0	168.7
4441865	4442032	167	341.6	176.1
4442099	4442259	160	486.9	167.1
4442309	4442469	160	671.2	161.1
4442690	4442864	174	94.8	397.7
4442897	4443027	130	126.2	424.8
4443049	4443238	189	155.1	434.4
4443277	4443500	223	107.8	421.8
4443537	4443704	167	180.5	403.8
4443775	4443897	122	191.1	250.6
4443923	4444058	135	178.1	235.4
4444102	4444392	290	293.2	246.4
4444455	4444711	256	499.0	399.0
