start_ms	end_ms	length_ms	x	y
1228338	1228491	153	477.5	434.6
1228527	1228753	226	538.0	419.6
1228994	1229276	282	517.3	419.2
1229306	1229783	477	508.0	435.2
1229808	1230091	283	510.5	437.1
1230332	1230384	52	506.0	442.0
1230391	1230609	218	509.7	416.1
1230840	1230888	48	505.4	434.3
1231143	1231296	153	500.9	428.3
1231587	1231793	206	499.9	428.5
1231830	1231938	108	514.4	433.4
1232194	1232367	173	504.6	437.6
1232377	1232967	590	510.0	420.3
1233182	1233321	139	507.7	451.5
1233340	1234342	1002	498.7	418.0
1234367	1234602	235	496.9	428.7
1234631	1234976	345	497.4	421.2
1235249	1239160	3911	500.8	418.4
1239435	1239485	50	667.2	457.4
1239519	1239723	204	706.8	443.9
1239734	1239813	79	715.5	445.6
1239876	1240206	330	616.8	536.6
1240241	1240630	389	724.6	440.2
1240658	1240946	288	720.4	525.3
1241029	1241183	154	615.3	538.8
1241453	1241759	306	707.9	444.6
1241826	1242062	236	439.2	530.3
1242109	1242392	283	529.6	526.9
1242476	1242850	374	725.2	437.4
1242949	1243201	252	82.3	554.3
1243616	1243816	200	633.9	509.5
1243849	1244007	158	602.6	534.9
1244240	1244322	82	1114.0	875.9
1244424	1244502	78	251.7	608.0
1244609	1244650	41	99.7	702.9
1244741	1244891	150	176.7	747.1
1244954	1245168	214	113.4	753.3
1245290	1245377	87	47.7	733.7
1245385	1245545	160	39.6	732.3
1245576	1245975	399	42.3	727.8
1246057	1246160	103	509.4	480.1
